Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
5,3,2,New,alright so this cartoon i you got coyote and you got roadrunner,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and it’s the typical cartoon,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,it starts off with them chasing each other ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then it kinda slows and cut frame ,,kinda,,,,,,,,,,,,,,,,,,,
5,3,2,New,and has like the still picture of roadrunner,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,where it has the roadrunner under it,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,it says roadrunner then it has a latin phrase,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and it says on the latin phrase says uh accelerati incrediblis,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then it cuts to coyote,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and it says coyote under it,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then it says like coyotecacus and then like vulgaris,,"like, like",,,,,,,,,,,,,,,,,,,
5,3,2,New,and then they start speeding up again ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then you see coyote chasing the roadrunner ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,he’s got like a fork in one hand a knife in the other ,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,a napkin around his neck,mm-hmm,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and right as he’s about to come down and and stab him with them,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,you see roadrunner jump into the air turn around,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,say MEEP MEEP and kinda like jet off ,,"kinda, like",,,,,,,,,,,,,,,,,,,
5,3,2,New,and like as he swings down ,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and like you see the fork and you see the knife,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,it goes in the concrete ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and he kinda like smashes over it ,,"kinda, like",,,,,,,,,,,,,,,,,,,
5,3,2,New,and he’s kinda kinda dumbfounded wondering what’s going on,,"kinda, kinda",,,,,,,,,,,,,,,,,,,
5,3,2,New,just staying there thinking,,just,,,,,,,,,,,,,,,,,,,
5,3,2,New,then they cut to the next frame,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,so he’s sitting there and you have this like giant boulder,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and around it you have a metal apparatus connecting around it,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and a spring connected to a boxing glove,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,so you see coyote like pushing the boxing glove towards the rock,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and he clips it into place,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and stands behind it,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then you see the roadrunner come through a road,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and right as he does that he unhooks it ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and instead of seeing like the boxing glove flying at him,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,you see the rock push coyote back into the cliff and smoosh him ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then you see the boxing glove kind of circle around,,kind of,,,,,,,,,,,,,,,,,,,
5,3,2,New,and smack him in the face ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then they cut to the next scene,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,where he’s looking at a blueprint ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and on the blueprint you got like two cliffs and like a tightrope wire,,"like, like",,,,,,,,,,,,,,,,,,,
5,3,2,New,and kinda like his planned outline,,"kinda, like",,,,,,,,,,,,,,,,,,,
5,3,2,New,it says he’s gonna take the anvil out in the center,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,drop it off the tightrope,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and hit roadrunner on the head,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and make like a burger out of him,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,so it cuts to the real trial of the experiment ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and he has the anvil he jumps on the rope ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and you see the rope kind of sag to the ground,,kind of,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then like he’s sitting on the road,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and the roadrunner runs up to him,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,says MEEP MEEP jets off the other way ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and you see him throw the anvil off to the side to go chase him,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then it slingshots him into the air ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and while he’s in the air he points to his back,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and you see like the whole he has a parachute on his back ,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and he goes to pull the rope cord,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then like camping supplies come out,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,like you got an axe you’ve got forks and knives you’ve got plates,,like,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then he reaches into his pocket brings out acme aspirin,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,opens it up,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,you see the aspirin fly out,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,he grabs it from the sky eats a couple,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,waves to the crowd ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and then they have that typical upper view ? ,,,?,,,,,,,,,,,,,,,,,,
5,3,2,New,where he falls down,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and you see like the puff of cloud as he hits from above ?,yeah,like,?,,,,,,,,,,,,,,,,,,
5,3,2,New,and then the next one,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,you see them chasing each other on the road ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,coyote’s chasing the roadrunner into the old cactus mine,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,so they chase into the mine ,,,,,,,,,,,,,,,,,,,,,
5,3,2,New,and uh roadrunner runs in,,,,,,,,,,,,,,,,,,,,,
