Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
5,2,1,Old,so this is a uh you got the coyote you got roadrunner,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and they they sta you have the beginning,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and like coyote is chasing after the roadrunner,,like,,,,,,,,,,,,,,,,,,,
5,2,1,Old,with the whole circley arms thing going really fast,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and then they kinda slow down,,kinda,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and get that slow motion stop still frame capture ? ,,,?,,,,,,,,,,,,,,,,,,
5,2,1,Old,and they cut to the roadrunner,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and th it says roadrunner and under him it has a latin saying ,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and it kinda says like uh accelerati incrediblis ?,,"kinda, like",?,,,,,,,,,,,,,,,,,,
5,2,1,Old,and then cuts to the roadrunner and has cuts to the coyote,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,it has coyote under it ,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and then it has uh coyotecacus and then like vulgaris ?,,like,?,,,,,,,,,,,,,,,,,,
5,2,1,Old,and then they start speeding up slowly again,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,so you have the roadrunner speeding up,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,they start chasing after each other,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and then they ha then they cut to both of them,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,where you have roadrunner right there,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and you have coyote right behind him ,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,he has like his arms up,,like,,,,,,,,,,,,,,,,,,,
5,2,1,Old,he’s got the fork he’s got the knife ,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,aand he’s got the napkin around nack neck ready to eat him,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,then all of a sudden roadrun runner kinda jumps up in the air a little bit,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,turns around goes MEEP MEEP jets off ,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,and right as coyote like goes to stab him,,like,,,,,,,,,,,,,,,,,,,
5,2,1,Old,so he comes down he hits the concrete,,,,,,,,,,,,,,,,,,,,,
5,2,1,Old,you got the knife stuck in concrete,,,,,,,,,,,,,,,,,,,,,
