Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
19,2,1,Old,alright so uh roadrunner coyote ?,,,?,,,,,,,,,,,,,,,,,,
19,2,1,Old,starts off in a desert,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,with the you know two lane roads,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,you know,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,aand there’s music going you know,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,they’re chasing each other,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,roadrunner,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,coyote’s chasing the roadrunner,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and it freeze frames,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and roadrunner you know it’s it shows him,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then it shows coyote,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and it shows him with like the knife and the fork,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then it goes back to like them chasing,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,well coyote chasing roadrunner,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,aand then he like goes for him,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and you know he hits the the road,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,pavement whatever,,whatever,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then like he devises this other plan,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,with uh a boxing glove attached to the spring,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,which is attached to a rock,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and you know,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,he gets behind the rock,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,he pulls the boxing glove back,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and he’s ready for roadrunner to come,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and to knock him out,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and when he pulls the string,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,the rock shoots back,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,instead of the boxing glove shooting forward,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then like you know the boxing glove just hits him in the face,,"like, you know",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then it goes to like these blueprints of,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,like these cliffs,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and like a rope,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,you know going across them,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and like him standing in the middle,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then it shows like the actual cliffs,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and him walking with the,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,like starting to walk across with this anvil in his hands,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and like the tightrope goes down,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,all the way down to the ground,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and roadrunner comes up,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and he’s like MEEP MEEP,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and you know he he,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,coyote throws the anvil,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and he goes shooting up into the air,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,but you know he’s fine with it,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,’cause he’s like ah I got this backpack,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,you know well parachute,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and he goes to open it,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and it’s just a bunch of cooking apparel,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and pans and you know stuff like that,,"you know, stuff like that",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then like he pulls out this aspirin,,like,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and he takes it,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and you know plummets down,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,hits it PFFFT,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,aand then he’s uh,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,he like follows roadrunner into like these mines,,"like, like",,,,,,,,,,,,,,,,,,,
19,2,1,Old,he you know he gets a hat,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,his hat has like this red light,,"like, like",,,,,,,,,,,,,,,,,,,
19,2,1,Old,for roadrunner’s hat is like this green light,,"like, like",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and you know,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,then they show like this cross-section of these tunnels,,"like, like",,,,,,,,,,,,,,,,,,,
19,2,1,Old,like almost like a tic-tac-toe,,"like, like",,,,,,,,,,,,,,,,,,,
19,2,1,Old,well not really,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,but you know,,you know,,,,,,,,,,,,,,,,,,,
19,2,1,Old,then you see the red light chasing the green light,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and the green light will go one way,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,the red light will have to stop go back,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then it shows a different set of tunnels,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,like a like a zigzag kind of thing,,"like, like, kind of, thing",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then at the end of the zigzag tunnel,,,,,,,,,,,,,,,,,,,,,
19,2,1,Old,like you know roadrunner goes one way,,"like, you know",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and coyote goes like on a straight way,,"like, you know",,,,,,,,,,,,,,,,,,,
19,2,1,Old,and then you know it becomes pitch black,,you know,,,,,,,,,,,,,,,,,,,
