Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
8,1,1,New,I’ll tell her what happened in the cartoon?,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,Investigator,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,okay um it’s the roadrunner and coyote story,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,aand the coyote wants to eat the roadrunner,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,so the cartoon starts off in like a desert scene,,like,,,,,,,,,,,,,,,,,,,
8,1,1,New,aand uh coyote is chasing the roadrunner,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,with a knife and a fork,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,but he can’t catch him,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,so he tries to think of a way to get him ? to eat him ?,,,"?, ?",,,,,,,,,,,,,,,,,,
8,1,1,New,soo first he does,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,um he attaches like a boxing glove on a spring,,like,,,,,,,,,,,,,,,,,,,
8,1,1,New,to a rock ?,,,?,,,,,,,,,,,,,,,,,,
8,1,1,New,so that when roadrunner passes by,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,he’ll let go of the spring,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and it will knock the roadrunner out,mm-hmm,,,,,,,,,,,,,,,,,,,,
8,1,1,New,but theen it backfires on him,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and he actually like gets like pushed the opposite way,,"like, like",,,,,,,,,,,,,,,,,,,
8,1,1,New,like the coyote gets pushed into the cliff,,like,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then the boxing glove punches him ?,,,?,,,,,,,,,,,,,,,,,,
8,1,1,New,and theen the next one he does is,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,he has like a plan ?,,like,?,,,,,,,,,,,,,,,,,,
8,1,1,New,to he’s like a map ?,,like,?,,,,,,,,,,,,,,,,,,
8,1,1,New,a blueprint that’s what it is,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and hee wants to suspend a rope between two cliffs,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then suspend the anvil ?,,,?,,,,,,,,,,,,,,,,,,
8,1,1,New,so that the roadrunner will like hit into it ?,,like,?,,,,,,,,,,,,,,,,,,
8,1,1,New,but then he ends up walking across the tightrope with the anvil,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,but then the rope falls like,on him,like,,,,,,,,,,,,,,,,,,,
8,1,1,New,like he walks to the middle of it,,like,,,,,,,,,,,,,,,,,,,
8,1,1,New,and he’s the the rope is weighted down by the anvil,mm-hmm,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then the roadrunner comes,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and passes him by again,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then um what happens after that ?,,what happens after that,?,,,,,,,,,,,,,,,,,,
8,1,1,New,and then he goes into the mine ?,,,?,,,,,,,,,,,,,,,,,,
8,1,1,New,like this these mines or whatever ?,,"like, or whatever",?,,,,,,,,,,,,,,,,,,
8,1,1,New,and they’re they’re basically chasing around each other,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,round and round in circles,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,aand the roadrunner keeps passing him by taunting him,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then finally the roadrunner runs away from him,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and the coyote ends up in a really dark cave,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and he lights a match to see where he is,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and he’s he’s with he’s in a room filled with all this TNT,,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and then it blows up,oh,,,,,,,,,,,,,,,,,,,,
8,1,1,New,and like I guess he dies,,"like, I guess",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
