Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
17,2,2,New,okay so this cartoon was wile e. coyote and roadrunner ?,mm-hmm,,?,,,,,,,,,,,,,,,,,,
17,2,2,New,and uh roadrunner was chased by wile e. coyote,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and he’s got a fork and knife in his hand,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and he goes to stab her,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and misses,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and stabs the ground,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and his body is just kinda like hanging up in the air ?,stuck hung up,"just, kinda, like",?,,,,,,,,,,,,,,,,,,
17,2,2,New,with the fork and knife in the ground,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,so then he decides he’s gonna hook up a uh,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,spring loaded punch glove,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,to a rock,mm-hmm,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and right when she’s going by,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,he releases it,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and instead of the punch getting sprung,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,the rock goes,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and flings him back into the rock,of course,,,,,,,,,,,,,,,,,,,,
17,2,2,New,yeah exactly into the rock behind him,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and then the punch the f the glove goes,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and punches him in the face,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and then he decides he’s going to,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,put a string across two cliffs,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and take a weight,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and he’s gonna walk across the string,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and once she comes underneath,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,he’s gonna drop the weight on her,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,but the weight the the weight pulled him down,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,to the ground,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,from the string,mm-hmm,,,,,,,,,,,,,,,,,,,,
17,2,2,New,the string stretched out,yeah one of those,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and she comes up to him ,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and he’s on the ground on the string,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and so he goes to chuck the weight,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and chase after her,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,when he chucks the weight,it lifts him back up ?,,,,,,,,,,,,,,,,,,,,
17,2,2,New,the string sh shoots him back up in the air,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and um then he uh,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,he goes to open his parachute,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,and it’s a bunch of silverware and food and stuff,,and stuff,,,,,,,,,,,,,,,,,,,
17,2,2,New,and so he takes out his thing of acme aspirin,,,,,,,,,,,,,,,,,,,,,
17,2,2,New,he pops an aspirin and lands on the ground ,,,,,,,,,,,,,,,,,,,,,
