Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
8,2,1,Old,okay um it starts off with the roadrunner and coyote story,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and the coyote wants to eat the roadrunner,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,so he’s chasing him with a fork and a knife in his hand,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,but he can’t catch him,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,soo afterwards he tries to make a plan to to catch him,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,to eat him,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and the first plan he comes up with is,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,with a boxing glove attached to a spring,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he’s hiding behind a rock,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he’s gonna let go of the spring,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and it’s gonna knock the roadrunner out,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,the roadrunner comes by,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he lets go of the spring,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,but then the thing backfires on him ?,,,?,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he actually gets pushed into a cliff,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and the boxing glove punches him,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and then the second plan is,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,to suspend an anvil from two cliffs on a tightrope ?,,,?,,,,,,,,,,,,,,,,,,
8,2,1,Old,and the roadrunner walks to the middle of the the tightrope,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,with the anvil and,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,but the rope is weighted down by the anvil,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,so he falls to the ground the roadrunner comes by,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,ing towards him and leaves,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and then uh he’s like he lets go of the anvil,,like,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he’s thrown up into the air,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he falls back down,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,and he he I guess he has a headache or something,,"I guess, or something",,,,,,,,,,,,,,,,,,,
8,2,1,Old,and then uh the third one is when,,,,,,,,,,,,,,,,,,,,,
8,2,1,Old,they’re both in the mines,,,,,,,,,,,,,,,,,,,,,
