Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,
3,3,2,New,it’s a uh roadrunner and coyote cartoon,,,,,,,,,,,,,
3,3,2,New,and it starts off with,,,,,,,,,,,,,
3,3,2,New,the two of them chasing each other,,,,,,,,,,,,,
3,3,2,New,and like uh you see a cloud of color it’s all you see,,like,,,,,,,,,,,
3,3,2,New,and slow it goes to slow motion,,,,,,,,,,,,,
3,3,2,New,and you see the roadrunner,,,,,,,,,,,,,
3,3,2,New,and you see the coyote uh a few feet behind him,,,,,,,,,,,,,
3,3,2,New,with um a fork and a knife in his hand and uh,,,,,,,,,,,,,
3,3,2,New,a bib around his neck,,,,,,,,,,,,,
3,3,2,New,and it it it start it get,,,,,,,,,,,,,
3,3,2,New,then it starts off again in slow motion and you still see them,,,,,,,,,,,,,
3,3,2,New,and then it get uh,,,,,,,,,,,,,
3,3,2,New,I guess the thing catches up to speed with the roadrunner,,I guess,,,,,,,,,,,
3,3,2,New,and wand and is like out of the picture by that time,,like,,,,,,,,,,,
3,3,2,New,he’s run away from the coyote,,,,,,,,,,,,,
3,3,2,New,and the coyote left um thinking about how to catch him ,,,,,,,,,,,,,
3,3,2,New,and he comes up with this contraption ,,,,,,,,,,,,,
3,3,2,New,and you you pl,,,,,,,,,,,,,
3,3,2,New,and it was a metal contraption he placed around a rock,,,,,,,,,,,,,
3,3,2,New,and it has um a spring with a boxing glove at the end,,,,,,,,,,,,,
3,3,2,New,that all he has to do is um pull a string,,,,,,,,,,,,,
3,3,2,New,and it should catapult thee boxing glove ,,,,,,,,,,,,,
3,3,2,New,so he’s standing behind it,,,,,,,,,,,,,
3,3,2,New,as the roadrunner comes running past him,,,,,,,,,,,,,
3,3,2,New,and pulls the string,,,,,,,,,,,,,
3,3,2,New,however it backfires,,,,,,,,,,,,,
3,3,2,New,and it sends the rock that was in catapulting into him into another rock,,,,,,,,,,,,,
3,3,2,New,and then a few seconds later the the boxing glove with the spring,,,,,,,,,,,,,
3,3,2,New,falls and hits him in the face ,,,,,,,,,,,,,
3,3,2,New,then the and then he gets blueprints for another acme contraption,,,,,,,,,,,,,
3,3,2,New,that he um it ih,,,,,,,,,,,,,
3,3,2,New,it was a line tied between two cliffs,,,,,,,,,,,,,
3,3,2,New,and he has an anvil in his hands and he starts walking across it ,,,,,,,,,,,,,
3,3,2,New,and he gets sent down to the bottom the ground,,,,,,,,,,,,,
3,3,2,New,with an anvil in his hand,,,,,,,,,,,,,
