Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
13,3,1,Old,alright starts out with you have the coyote and the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and you see desert and this little road,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,you see two figures going really fast,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and then it like the TV freezes,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and you see the coyote or the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and it says incredible speed in parentheses underneath them,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and then it flashes to the coyote and it says carnivore,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he has this bib on and a knife and a fork,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so then when they like unfreeze it they are running,,like,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and uh roadrunner is not going as fast as he can,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he’s just letting the coyote hanging around,,just,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so then the roadrunner like freezes for a minute,,like,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and you see the coyote like about to dig his fork and knife into him,,like,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and the roadrunner just takes off,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and um the coyote’s has his fork and knife stuck in the ground,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he just like lands on his face,,"just, like",,,,,,,,,,,,,,,,,,,
13,3,1,Old,and smashes his face into the road ,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so the coyote comes up with a plan for the next time he sees the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he has a boxing glove with a spring in it,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he’s gonna pull it back to the,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,it’s wrapped around the rock,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he’s gonna pull back to the rock,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and have the string that would release it,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he was gonna stand behind the rock,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so it would shoot out the the glove at the uh roadrunner,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,it might knock him out,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,well when he hears the roadrunner coming,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he has a sting in his hand he pulls it,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,instead of the glove moving,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,the rock moves,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and it like crushed him up against the side of the mountain,,like,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he’s like has these like stars and  and stuff like that,,"like, like, and stuff like that",,,,,,,,,,,,,,,,,,,
13,3,1,Old,and then you see the glove like come back and punch him in the face,,like,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so then his next plan is um,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he has there is the two uh cliffs,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and then underneath is the road,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he is gonna have,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he has a wire going or a rope going across both to one side to the other,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and he’s gonna have an anvil in his hand,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,he’s gonna walk out into the middle,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,and wait for the roadrunner to come drop it on him,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,well when he walks out to the middle,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,the thing like bellies,,"thing, like",,,,,,,,,,,,,,,,,,,
13,3,1,Old,and it touches the road,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,so then the roadrunner comes up from the side of him,,,,,,,,,,,,,,,,,,,,,
13,3,1,Old,makes his noise,,,,,,,,,,,,,,,,,,,,,
