Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
13,1,1,New,okay so this one was umm the roadrunner and coyote,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,aand it starts out,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,they’re in the desert,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,there is a road,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,aand you see like two like just things moving really fast,,"like, like, just, things",,,,,,,,,,,,,,,,,,,
13,1,1,New,obviously one’s the roadrunner one’s coyote,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,then it freezes and you see the roadrunner aand it says incredible speed,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and then it goes to the coyote and it says like carnivore and stuff like that,,"like, and stuff like that",,,,,,,,,,,,,,,,,,,
13,1,1,New,and the coyote has a bib on and a knife and a fork,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,so then when they like sst like go back start again uh,,"like, like",,,,,,,,,,,,,,,,,,,
13,1,1,New,coyote’s uh and is chasing the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and like the roadrunner is not going full speed,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,he’s kinda letting the roadrunner hang,,kinda,,,,,,,,,,,,,,,,,,,
13,1,1,New,so then he the roadrunner like freezes,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,coyote like tries to jam his fork and knife into him,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,and then the roadrunner just takes off,,just,,,,,,,,,,,,,,,,,,,
13,1,1,New,aand he’s there with his knife and fork in the road,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,aand he is on like hanging like that,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,and he just falls to the ground ,,just,,,,,,,,,,,,,,,,,,,
13,1,1,New,and then umm the next,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,so the coyote has this plan to come up try and get the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and his next plan is,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,he has a boxing glove on a spring that’s wrapped around a rock,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,pushes the boxing glove till the spring is like you know all together,,"like, you know",,,,,,,,,,,,,,,,,,,
13,1,1,New,so it would shoot out at the roadrunner as he passed ,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and he pulls the thing back,,thing,,,,,,,,,,,,,,,,,,,
13,1,1,New,and has the cord in his coyote has the cord in his hand to like release it ?,,like,?,,,,,,,,,,,,,,,,,,
13,1,1,New,so that the spring would shoot out ?,,,?,,,,,,,,,,,,,,,,,,
13,1,1,New,ohh and here’s the roadrunner,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,he pulls the spring,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,glove don’t move,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,the rock pushes back,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and puts the uh coyote smashed up against the rock,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and then as he’s like the rock’s smashed up against him,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,you see the the boxing glove come back and like hit him in the face,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,so then coyote comes up with another plan,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and he is on the like the two like cliffs,,"like, like",,,,,,,,,,,,,,,,,,,
13,1,1,New,and there’s like a big drop,,"like, like",,,,,,,,,,,,,,,,,,,
13,1,1,New,and he has a string,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,a really skinny string going across,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and his plan was uh to,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,when the roadrunner comes down below on the road,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,he’s gonna drop an anvil on him,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,so he walks out on the string with the anvil,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,and the thing just bellies,,just,,,,,,,,,,,,,,,,,,,
13,1,1,New,and he’s like touching the ground,,like,,,,,,,,,,,,,,,,,,,
13,1,1,New,so the roadrunner comes up next to him,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,makes his noise,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,the coyote throws th the anvil on the side,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,’cause the roadrunner takes off,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,’cause he is gonna go chase him,,,,,,,,,,,,,,,,,,,,,
13,1,1,New,so when he throws the anvil on his side,,,,,,,,,,,,,,,,,,,,,
