Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
11,2,1,Old,okay so,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,this is the cartoon of roadrunner and coyote,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,aand you know it’s that famous cartoon,,you know,,,,,,,,,,,,,,,,,,,
11,2,1,Old,that comes with bugs bunny,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and so what happens is,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they start off showing,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,coyote chasing roadrunner,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and roadrunner is running and running,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,so they pause him in the air,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,just to introduce him,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,like as a main character,,like,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and so they write roadrunner,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and they write a latin name for him too,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,like accelerat-tis something,,"like, something",,,,,,,,,,,,,,,,,,,
11,2,1,Old,or it’s not true latin,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,it’s just a play on words,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then sthey they then go,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then they focus on coyote,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and they pause on him,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and they say,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they write his name coyote,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then they write carnivoris vulgaris,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,or something same thing again,,or something,,,,,,,,,,,,,,,,,,,
11,2,1,Old,in latin but play on words,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and they show coyote has a bib on,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and has a fork and a knife,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and he’s ready to just like,,"just, like",,,,,,,,,,,,,,,,,,,
11,2,1,Old,eat up the roadrunner,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,so roadrunner’s,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they sh,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,then they go back,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they restart the scene you know,,you know,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they’re pausing it,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,they started again,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,aand roadrunner starts running slowly slowly,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,as if he’s about to lift off like an airplane ?,,,?,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then as he’s going he says BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then starts going faster,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and so then they show you know kind of a blur of colors,,"you know, kind of",,,,,,,,,,,,,,,,,,,
11,2,1,Old,you know red and blue,,you know,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then coyote starts chasing after him,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,you know keeps going,,you know,,,,,,,,,,,,,,,,,,,
11,2,1,Old,sspeeds up himself as well,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and roadrunner then all of a sudden,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,like bounces in the air,,like,,,,,,,,,,,,,,,,,,,
11,2,1,Old,it’s a short pause in the air,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,like it pauses a short while,,like,,,,,,,,,,,,,,,,,,,
11,2,1,Old,it turns around and says BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,mocks him,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and so coyote is like jumps on him,,like,,,,,,,,,,,,,,,,,,,
11,2,1,Old,just about to get him,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,but he falls,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,his knife and his fork fall to the ground,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then you see,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,he’s stuck in the ground,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,so he falls down,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and gets really angry,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,puts his hand on his chin,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,and then after that hee,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,all of a sudden becomes happy again,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,because he thinks of an idea,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,okay,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,so what he does is,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,he gets the wa punch,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,those punches that are attached to the springs ?,,,?,,,,,,,,,,,,,,,,,,
11,2,1,Old,aand he attaches that with the string to a rock,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,okay and he’s going to release it,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,you know like,,"you know, like",,,,,,,,,,,,,,,,,,,
11,2,1,Old,using the action reaction physics stuff,,stuff,,,,,,,,,,,,,,,,,,,
11,2,1,Old,so then what happens is uh,,,,,,,,,,,,,,,,,,,,,
11,2,1,Old,he gets ready he ties the thing to a rock,,the thing,,,,,,,,,,,,,,,,,,,
11,2,1,Old,the spring and the string to a rock,,,,,,,,,,,,,,,,,,,,,
