Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
12,2,2,New,it’s um the cartoon of coyote and the roadrunner ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,and you they’re running,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then they show it’s roadrunner and coyote,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and the coyote is chasing him with a fork and a knife,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and a napkin around his head ‘cause he wants to eat him ,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,but then the roadrunner does its usual BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and thenhe like kinda digs the fork and the knife into the ground,,"like, kinda",,,,,,,,,,,,,,,,,,,
12,2,2,New,and then and then he gets mad,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then it goes into,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,he makes a plan of put um putting a boxing glove onto a spring,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then strapping it onto a rock,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he pulls a string which will hit the um roadrunner ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,but then it backfires,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and the rock throws him to the wall,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then theethe boxing glove hits him ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,springs back and hits him,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he makes a uhh,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,he makes a blueprint out of a plan,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,by putting a tightrope next to like two calike two cliffs,,"like, like",,,,,,,,,,,,,,,,,,,
12,2,2,New,and then having an anvil ? anvil ?,,,"?, ?",,,,,,,,,,,,,,,,,,
12,2,2,New,and then he’s gonna throw it on top of the roadrunner,mm-hmm,,,,,,,,,,,,,,,,,,,,
12,2,2,New,but while he’s walking that the tightrope,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,it kinda goes down with him ‘cause of the weight,,kinda,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then the roadrunner comes in and goes BEEP BEEP,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and he kinda drops the anvil,,kinda,,,,,,,,,,,,,,,,,,,
12,2,2,New,so he shoots up in the air,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he has a a parachute ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he he’s about to open it,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,but then a bunch of kitchen supplies come out ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,so he’s frustrated,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then umhe takes out an aspirin box,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and he drinks he takes two,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he falls to the ground,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then it goes into they’re chasing each other,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and they go into a mine,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and it’s dark at first,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,so they both get hardhats with lights ,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,the coyote has redaand roadrunner has green ,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then they are chasing each other chasing each other chasing each other,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then ummroadrunner goes one way and coyote goes the other ?,,,?,,,,,,,,,,,,,,,,,,
12,2,2,New,it’s like a bumpy the bumpy side.,,like,,,,,,,,,,,,,,,,,,,
12,2,2,New,and he hi keeps hitting his head with the ceiling,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and the hardhat like gets broken,,like,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he lights a match,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and he there’s dynamite in the back of him,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and then he blows up,,,,,,,,,,,,,,,,,,,,,
12,2,2,New,and that’s it,great,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
