Triad,Narration,Listener,OldOrNew,Transcript,Audience,Hedges,Rising Intonation,,,,,,,,,,,,,,,,,,
16,3,1,Old,um it’s the wild e. coyot coyote and roadrunner,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,like I said before,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he’s chasing the roadrunner,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and the first scene,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,he has a fork and knife in his hand,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he wants to like eat the roadrunner for dinner or whatever,,"like, or whatever",,,,,,,,,,,,,,,,,,,
16,3,1,Old,but he can’t catch up to it,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and theen,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,he decides to take thee uh the boxing glove,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,with thee spring attached,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he ties it to a rock,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he’s like waiting for the roadrunner to pass,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,when he pulls the thing to release the boxing glove,,thing,,,,,,,,,,,,,,,,,,,
16,3,1,Old,the the rock comes back,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,instead of like the boxing glove going forward ?,,like,?,,,,,,,,,,,,,,,,,,
16,3,1,Old,so he like gets hurt there,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and then he puts a rope from a mountain to mountain,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he walks over with an anvil,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and then when he walks over,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,he like falls all the way to the ground with the anvil,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and then the roadrunner comes,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,so he drops the anvil,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,but he ends up flying like way up into the air,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he has a parachute on,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,so he goes to pull the parachute string,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,but instead of a parachute coming out like,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,all this like junk comes out of the bag or whatever,,"like, junk, or whatever",,,,,,,,,,,,,,,,,,,
16,3,1,Old,it’s like bowls or something,,"like, or something",,,,,,,,,,,,,,,,,,,
16,3,1,Old,and so he ends up falling to the ground,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and then hee chases the roadrunner into,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,this like cave mine thing,,"like, thing",,,,,,,,,,,,,,,,,,,
16,3,1,Old,and it’s so dark,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,so they’re like running all around,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and he can’t catch up to it,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,aand he finds himself in like a really dark room or whatever,,"like, or whatever",,,,,,,,,,,,,,,,,,,
16,3,1,Old,so he lights a match,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and it’s all dynamite behind him,,,,,,,,,,,,,,,,,,,,,
16,3,1,Old,so like the dynamite blows up,,like,,,,,,,,,,,,,,,,,,,
16,3,1,Old,and that’s the end of the cartoon,okay,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
